label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,Serum-11221,Serum-11222,Serum-11223
,0,1,3,74.02465,12.56182,0.8015049,C12 PARENT,glycine,glycine,C2H5NO2,0.8630028,1.339851,74.02465,345202.2,465143,504612.5
,0,2,0,75.02793,12.54886,0.4965945,C13-label-1,glycine,glycine,C2H5NO2,0.8759642,2.338804,74.02465,4579.232,4647.738,6092.892
,0,3,0,75.0216,12.58472,0.09141602,N15-label-1,glycine,glycine,C2H5NO2,0.8401031,2.440697,74.02465,1333.293,1177.903,0
,0,4,3,88.04025,12.31346,0.830786,C12 PARENT,alanine,alanine,C3H7NO2,0.8472033,1.6465,88.04025,2404646,3030059,3810333
,0,5,0,90.04072,12.25788,0.1088608,C13N15-label-1-1,alanine,alanine,C3H7NO2,0.9027758,0.7625939,88.04025,970.5591,0,0
,0,6,0,92.04737,12.29081,0.08857518,C13N15-label-3-1,alanine,alanine,C3H7NO2,0.8698502,1.409052,88.04025,1499.978,881.7121,0
,0,7,3,89.0436,12.30048,0.8368704,C13-label-1,alanine,alanine,C3H7NO2,0.8601761,1.713628,88.04025,54921.12,70690.25,91665.19
,0,8,0,90.04696,12.33039,0.1135928,C13-label-2,alanine,alanine,C3H7NO2,0.830267,1.694534,88.04025,1000.038,781.655,0
,0,9,3,89.03727,12.28748,0.8167745,N15-label-1,alanine,alanine,C3H7NO2,0.8731813,1.885125,88.04025,46558.18,54099,81840.09
,0,10,3,104.0352,12.69146,0.8237218,C12 PARENT,serine,serine,C3H7NO3,0.8461075,1.540028,104.0352,1313804,1615332,2614755
,0,11,3,105.0385,12.70438,0.8210893,C13-label-1,serine,serine,C3H7NO3,0.8331861,2.10639,104.0352,27358.42,39366.18,62172.42
,0,12,3,105.0322,12.70475,0.8032349,N15-label-1,serine,serine,C3H7NO3,0.8328247,1.743325,104.0352,8862.062,10383.68,18797.14
,0,13,3,114.0558,11.19979,0.8232603,C12 PARENT,proline,proline,C5H9NO2,0.817275,1.806074,114.0558,1089340,1519319,1713456
,0,14,3,115.0592,11.21544,0.8470369,C13-label-1,proline,proline,C5H9NO2,0.801631,1.724016,114.0558,40664.45,52824.8,72174.48
,0,15,0,116.063,11.24987,0.1863557,C13-label-2,proline,proline,C5H9NO2,0.7672024,1.709112,114.0558,2462.96,0,0
,0,16,1,115.053,11.20778,0.8184255,N15-label-1,proline,proline,C5H9NO2,0.8092861,1.127303,114.0558,5577.966,15116.03,4679.979
,0,17,3,116.0715,10.49333,0.8387882,C12 PARENT,DL-Valine,DL-Valine,C5H11NO2,0.7180119,1.51179,116.0715,5690714,7374570,8986478
,0,18,2,118.072,10.50821,0.8400009,C13N15-label-1-1,DL-Valine,DL-Valine,C5H11NO2,0.7031307,0.9046297,116.0715,5534.711,0,10103.54
,0,19,3,121.0819,10.50981,0.8470899,C13N15-label-4-1,DL-Valine,DL-Valine,C5H11NO2,0.7015285,2.205352,116.0715,21307.67,25418.03,22175.74
,0,20,3,122.0853,10.49333,0.8391538,C13N15-label-5-1,DL-Valine,DL-Valine,C5H11NO2,0.7180119,1.749782,116.0715,1228112,1520270,1682479
,0,21,3,117.0749,10.48543,0.8120032,C13-label-1,DL-Valine,DL-Valine,C5H11NO2,0.7259111,1.694334,116.0715,292868.7,382769.4,449100.5
,0,22,2,118.0784,10.49342,0.8316267,C13-label-2,DL-Valine,DL-Valine,C5H11NO2,0.7179222,0.2584518,116.0715,2178.578,5132.546,5644.666
,0,23,3,120.0849,10.49374,0.8430755,C13-label-4,DL-Valine,DL-Valine,C5H11NO2,0.7176008,2.033063,116.0715,10640.42,14859.25,15342.54
,0,24,3,121.0882,10.49333,0.8375738,C13-label-5,DL-Valine,DL-Valine,C5H11NO2,0.7180119,2.14223,116.0715,815608.2,1012561,1142164
,0,25,3,117.0686,10.49333,0.8536494,N15-label-1,DL-Valine,DL-Valine,C5H11NO2,0.7180119,1.107894,116.0715,202057.2,281720,309854.5
,0,26,3,118.0509,12.33985,0.8160336,C12 PARENT,threonine,threonine,C4H9NO3,0.7998486,0.8401636,118.0509,1291181,2084030,2661779
,0,27,3,119.0538,12.32648,0.7787468,C13-label-1,threonine,threonine,C4H9NO3,0.81322,4.678082,118.0509,39771.52,73762.12,69834.72
,0,28,3,130.062,12.31346,0.8571982,C12 PARENT,creatine,creatine,C4H9N3O2,0.8564835,1.759788,130.062,1596860,2545135,3175212
