label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,blank01,U13C15NGly-ctrl-1,U13C15NGly-ctrl-2,U13C15NGly-ctrl-3,U13C15NGly-itaco-1,U13C15NGly-itaco-2,U13C15NGly-itaco-3,U13C15NSer-ctrl-1,U13C15NSer-ctrl-2,U13C15NSer-ctrl-3,U13C15NSer-itaco-1,U13C15NSer-itaco-2,U13C15NSer-itaco-3
,0,1,12,74.02459,13.27522,0.7992291,C12 PARENT,glycine,glycine,C2H5NO2,0.02478409,2.164375,74.02459,62184.64,1213013,4566574,4248982,3818475,4301100,3808814,4044368,1563202,2742354,3170230,2607741,2816493
,0,2,9,76.02495,13.26969,0.849255,C13N15-label-1-1,glycine,glycine,C2H5NO2,0.03030872,2.508839,74.02459,0,5439.765,23716.74,32862.07,45491.46,45895.48,35949.74,20984.15,22613.52,54322.22,69280.95,45173.28,63138.51
,0,3,12,77.02833,13.26593,0.8190284,C13N15-label-2-1,glycine,glycine,C2H5NO2,0.03407001,2.179021,74.02459,0,733227.3,3029727,2563712,2647844,3005267,2791271,2440730,2356615,4618680,6455626,5122886,5225319
,0,4,12,75.02789,13.26988,0.8511148,C13-label-1,glycine,glycine,C2H5NO2,0.03012466,2.84724,74.02459,0,23369.36,101574.5,83682.3,84353.88,94676.91,69511.77,85218.95,34793.34,43484.79,68950.45,43015.46,56300.03
,0,5,10,76.03127,13.26771,0.8502573,C13-label-2,glycine,glycine,C2H5NO2,0.03228569,2.608976,74.02459,0,10139.33,22730.46,16464.92,11118.3,14660.11,13315.03,11793.83,49616.57,100599.1,59905.37,73561.52,69209.56
,0,6,9,75.02157,13.28777,0.849893,N15-label-1,glycine,glycine,C2H5NO2,0.01223087,2.84748,74.02459,1592.247,12050.99,45572.92,16775.14,7960.593,14372.18,6631.934,24795.46,56912.75,108498.5,23489.85,23985.69,23263.93
,0,7,8,87.00855,3.830408,0.7928284,C12 PARENT,pyruvate,pyruvate,C3H4O3,0.2495916,2.45519,87.00855,293218.5,2447226,2228678,2217812,2284119,1386529,1630214,4419384,886136.1,3448933,3029673,1099535,2342379
,0,8,8,88.01193,3.838221,0.8115132,C13-label-1,pyruvate,pyruvate,C3H4O3,0.2417789,2.167143,87.00855,8223.035,79538.12,71310.37,84483.9,76944,37656.21,48542.73,152710.6,24087.66,99808.66,91942.97,37801.08,70730.49
,0,9,0,89.01522,3.80479,0.05242376,C13-label-2,pyruvate,pyruvate,C3H4O3,0.2752094,2.914093,87.00855,0,0,1147.749,0,1450.547,0,775.6773,2316.955,0,850.9629,0,0,0
,0,10,2,90.01864,3.8009,0.7592325,C13-label-3,pyruvate,pyruvate,C3H4O3,0.2790997,2.118833,87.00855,0,0,0,0,0,0,0,0,12354.01,46049.78,41881.06,11301.67,16125.77
